"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","komentar","uid","uniqueId","videoWebUrl"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7325781004512133121~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=9da83be7&x-expires=1746248400&x-signature=v1ymjL7ylPzMldCnlx8d7Qe0oVY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493528414066852626","1744723051","2025-04-15T13:17:31.000Z","41365","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"645","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","kenapa ngajak king abdi dari awal, klo istri tretan punya resep😆 kan buang2 waktu 🤣","6543790079989645314","yuzvanmuhammad","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/29b512c8b10e7ae8bc323f7b3c214389~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=40a70c8b&x-expires=1746248400&x-signature=aaK%2BWcY6WzmK26QWTf%2FwE3B2wM0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493523998345888530","1744722030","2025-04-15T13:00:30.000Z","32193","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"290","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","Oh ini ternyata .. pantes king abdi ikhlasin aja, males bgt adu mulut sm orng begini kali ya 😂","6565867160613830657","mamideepa","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/fcff4ef7b67a04fba9dcb397708c281a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=26f796bc&x-expires=1746248400&x-signature=RZLBBcG1VjjxaqvJb8REO7p%2FnAQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493499315852428040","1744716280","2025-04-15T11:24:40.000Z","25829","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"71","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","tim king abdi☝️","7106309729098007578","menversatile","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/18304b4f24511aed402a88ab2332e249~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=463db2e4&x-expires=1746248400&x-signature=%2F6One0gkoqVBeP1c%2BGlVS30c63w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493503747932766994","1744717321","2025-04-15T11:42:01.000Z","13305","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"140","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","istri nya tretan muslim ternyata king abdi","7469671230893097992","sanott6","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/766960dd34d27b65b07c8538cb4d3d22~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3c9bac52&x-expires=1746248400&x-signature=787UckrbpmHSsOeaj2B8NNPVVAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493509627607483154","1744718683","2025-04-15T12:04:43.000Z","5859","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"104","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","emang istrinya bisa masak se enak king abdi?","7059663033794364443","aliridh029","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f59fec11e756207e26d4511fe32b9a2f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=89ab0f62&x-expires=1746248400&x-signature=3gamwgOYOV%2FRHewtlja8TWjmfSQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493513666622194439","1744719626","2025-04-15T12:20:26.000Z","7234","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"137","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","intinya kalau dari awal istrinya bisa Buat semuanya buat apa minta king abdi benerin resepnya?🤣🤣🤣🤣","7454648328799175685","halo46206","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2cbd7aacdc60fc4d91f61593261a0996~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=2787a8b8&x-expires=1746248400&x-signature=YxEmwwO5OxSZN9fMb91CRvU0ks4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493509990198313735","1744718763","2025-04-15T12:06:03.000Z","3519","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"41","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","wajah2 sngkuni🥰","7175024990201742342","mochyasy","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e624adf2139d214ef5076458c3e3ab58~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=c69f69a7&x-expires=1746248400&x-signature=%2FxX535URaVdG2fH6UYrlQJwb0bk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493567418155434760","1744732144","2025-04-15T15:49:04.000Z","9108","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"90","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","Tidak dipake, tapi ditiru🗿","6849172801028834305","bli_putuu","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cb5b1552036b684383457bfe3d0e8fee~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=2b199071&x-expires=1746248400&x-signature=mrcAf3n4QggnSgK7be3GSzAn3rQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493503857584112405","1744717345","2025-04-15T11:42:25.000Z","1490","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"140","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","terus ngapain lu ajak dia kalau pake resep istri😂","7421446167844717574","inafasya23","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fd505e1fc745f3283775d63b8d28d425~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=6f410f6c&x-expires=1746248400&x-signature=ZUBtxt51vMb8aXm0fqv6QanSjbo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a","7493520053704704786","1744721114","2025-04-15T12:45:14.000Z","8081","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","false","false",,"90","https://www.tiktok.com/@spirituspilar/video/7493498754356514054","Intinya, pas si abdi buat resepnya siistrinya niru buat juga yang resep hampir sama. Alurnya udah ketebak cuma nih orang gamau ngaku","6847871825549591553","blizzare_","https://www.tiktok.com/@spirituspilar/video/7493498754356514054"
